Unique Class Identifier,Subject,Catalog,Descr,Section,Cap Enrl,Pat,Mtg Start,Mtg End,Mode,Descr 1,Career,Term Descr
179010251374499,PHYSICS,365L,ADVANCED EXPERIMENTAL PHYSICS,01L,6,W,3:30:00 PM,6:00:00 PM,In Person,Physics 146,UGRD,2022 Spring Term
179010251374500,BIOLOGY,365L,ADVANCED EXPERIMENTAL PHYSICS,01L,6,W,3:30:00 PM,6:00:00 PM,In Person,Physics 146,UGRD,2022 Spring Term
179010251383211,CULANTH,470S,RESEARCH IN HUMAN RIGHTS,1,18,M,3:30:00 PM,6:00:00 PM,In Person,Smith Warehouse Bay 12 A101,UGRD,2022 Spring Term
179010251383212,ENVIRON,470S,RESEARCH IN HUMAN RIGHTS,1,18,M,3:30:00 PM,6:00:00 PM,In Person,Smith Warehouse Bay 12 A101,UGRD,2022 Spring Term
179010251383213,HISTORY,488S,RESEARCH IN HUMAN RIGHTS,1,18,M,3:30:00 PM,6:00:00 PM,In Person,Smith Warehouse Bay 12 A101,UGRD,2022 Spring Term
179010251383214,RIGHTS,470S,RESEARCH IN HUMAN RIGHTS,1,18,M,3:30:00 PM,6:00:00 PM,In Person,Smith Warehouse Bay 12 A101,UGRD,2022 Spring Term
179010251495482,ECON,333,PRIVATE EQUITY,1,12,TH,3:30:00 PM,6:00:00 PM,In Person,Social Sciences 327,UGRD,2022 Spring Term
179010251735805,BME,230L,GLOBAL WOMEN'S HEALTH TECH,1,21,T,10:15:00 AM,11:30:00 AM,In Person,Wilkinson 130,UGRD,2022 Spring Term
179010251735806,BME,230L,GLOBAL WOMEN'S HEALTH TECH,01L,21,TH,10:15:00 AM,11:30:00 AM,In Person,Gross Hall 0050,UGRD,2022 Spring Term
179010251735807,GLHLTH,230L,GLOBAL WOMEN'S HEALTH TECH,1,21,T,10:15:00 AM,11:30:00 AM,In Person,Wilkinson 130,UGRD,2022 Spring Term
179010251735808,GLHLTH,230L,GLOBAL WOMEN'S HEALTH TECH,01L,21,TH,10:15:00 AM,11:30:00 AM,In Person,Gross Hall 0050,UGRD,2022 Spring Term
179010252725157,ARTHIST,265,DRAWING FOUNDATIONS,1,15,M,12:00:00 PM,2:30:00 PM,In Person,Smith Warehouse Bay 12 A101,UGRD,2022 Spring Term
179010252725158,VMS,256,DRAWING FOUNDATIONS,1,15,M,12:00:00 PM,2:30:00 PM,In Person,Smith Warehouse Bay 12 A101,UGRD,2022 Spring Term
179010252725159,MEDREN,240,DRAWING FOUNDATIONS,1,15,M,12:00:00 PM,2:30:00 PM,In Person,Smith Warehouse Bay 12 A101,UGRD,2022 Spring Term
179010252754958,PHYSEDU,115,FITNESS FOR FIRST YEARS,1,20,MW,10:15:00 AM,11:30:00 AM,In Person,Brodie Rec Ctr 149,UGRD,2022 Spring Term
179010252778807,MATH,218L,MATRICES & VECTOR SPACES (LAB),01L,25,T,3:30:00 PM,4:45:00 PM,In Person,Gross Hall 105,UGRD,2022 Spring Term
179010252815160,ARTSVIS,375S,RECYCLED CINEMA,1,12,M,3:30:00 PM,6:00:00 PM,In Person,Rubenstein Arts Film Theater,UGRD,2022 Spring Term
179010252815161,VMS,375S,RECYCLED CINEMA,1,12,M,3:30:00 PM,6:00:00 PM,In Person,Rubenstein Arts Film Theater,UGRD,2022 Spring Term
179010252815162,CINE,373S,RECYCLED CINEMA,1,12,M,3:30:00 PM,6:00:00 PM,In Person,Rubenstein Arts Film Theater,UGRD,2022 Spring Term
179010252815163,DOCST,375S,RECYCLED CINEMA,1,12,M,3:30:00 PM,6:00:00 PM,In Person,Rubenstein Arts Film Theater,UGRD,2022 Spring Term
179010252815164,LIT,373S,RECYCLED CINEMA,1,12,M,3:30:00 PM,6:00:00 PM,In Person,Rubenstein Arts Film Theater,UGRD,2022 Spring Term
179010252908979,EGR,101L,ENGR DESIGN & COMMUNICATION,1,20,MTH,12:00:00 PM,1:15:00 PM,In Person,LSRC B110,UGRD,2022 Spring Term
179010252908980,EGR,101L,ENGR DESIGN & COMMUNICATION,01L,20,T,10:15:00 AM,1:15:00 PM,In Person,LSRC B110,UGRD,2022 Spring Term
179010253208475,CEE,132L,ENGINEERING THE PLANET,1,20,MWF,10:15:00 AM,11:05:00 AM,In Person,Hudson Hall 232,UGRD,2022 Spring Term
179010253208476,CEE,132L,ENGINEERING THE PLANET,01L,20,W,8:30:00 AM,9:45:00 AM,In Person,Wilkinson 227,UGRD,2022 Spring Term
179010253323868,PJMS,374S,WATCHDOG NEWS AND STORYTELLING,1,15,TH,12:00:00 PM,2:30:00 PM,In Person,Sanford 03,UGRD,2022 Spring Term
179010253323869,PUBPOL,357S,WATCHDOG NEWS AND STORYTELLING,1,15,TH,12:00:00 PM,2:30:00 PM,In Person,Sanford 03,UGRD,2022 Spring Term
179010253323870,POLSCI,374S,WATCHDOG NEWS AND STORYTELLING,1,15,TH,12:00:00 PM,2:30:00 PM,In Person,Sanford 03,UGRD,2022 Spring Term
179010253323871,ETHICS,374S,WATCHDOG NEWS AND STORYTELLING,1,15,TH,12:00:00 PM,2:30:00 PM,In Person,Sanford 03,UGRD,2022 Spring Term
179010253498183,PSY,257D,INTRO COGNITIVE NEUROSCI,1,80,TTH,8:30:00 AM,9:45:00 AM,In Person,Reuben-Cooke Building 130,UGRD,2022 Spring Term
179010253498184,PSY,257D,INTRO COGNITIVE NEUROSCI,01D,20,T,10:15:00 AM,11:05:00 AM,In Person,Classroom Building 135,UGRD,2022 Spring Term
179010253498185,PSY,257D,INTRO COGNITIVE NEUROSCI,02D,20,T,12:00:00 PM,12:50:00 PM,In Person,Classroom Building 135,UGRD,2022 Spring Term
179010253498186,PSY,257D,INTRO COGNITIVE NEUROSCI,03D,20,W,8:30:00 AM,9:20:00 AM,In Person,Languages 207,UGRD,2022 Spring Term
179010253498187,PSY,257D,INTRO COGNITIVE NEUROSCI,04D,20,W,10:15:00 AM,11:05:00 AM,In Person,Classroom Building 135,UGRD,2022 Spring Term
179010253498188,NEUROSCI,212D,INTRO COGNITIVE NEUROSCI,1,80,TTH,8:30:00 AM,9:45:00 AM,In Person,Reuben-Cooke Building 130,UGRD,2022 Spring Term
179010253498189,NEUROSCI,212D,INTRO COGNITIVE NEUROSCI,01D,20,T,10:15:00 AM,11:05:00 AM,In Person,Classroom Building 135,UGRD,2022 Spring Term
179010253498190,NEUROSCI,212D,INTRO COGNITIVE NEUROSCI,02D,20,T,12:00:00 PM,12:50:00 PM,In Person,Classroom Building 135,UGRD,2022 Spring Term
179010253498191,NEUROSCI,212D,INTRO COGNITIVE NEUROSCI,03D,20,W,8:30:00 AM,9:20:00 AM,In Person,Languages 207,UGRD,2022 Spring Term
179010253498192,NEUROSCI,212D,INTRO COGNITIVE NEUROSCI,04D,20,W,10:15:00 AM,11:05:00 AM,In Person,Classroom Building 135,UGRD,2022 Spring Term
179010254972650,BIOLOGY,203L,"MOL BIO, GENETICS & EVOL",1,80,MWF,10:15:00 AM,11:30:00 AM,In Person,Physics 130,UGRD,2022 Spring Term
179010254972651,BIOLOGY,203L,"MOL BIO, GENETICS & EVOL",01L,16,T,8:30:00 AM,11:00:00 AM,In Person,Biological Sciences 0035,UGRD,2022 Spring Term
179010254972652,BIOLOGY,203L,"MOL BIO, GENETICS & EVOL",02L,16,T,1:45:00 PM,4:15:00 PM,In Person,Biological Sciences 0035,UGRD,2022 Spring Term
179010254972653,BIOLOGY,203L,"MOL BIO, GENETICS & EVOL",03L,16,W,1:45:00 PM,4:15:00 PM,In Person,Biological Sciences 0035,UGRD,2022 Spring Term
179010254972654,BIOLOGY,203L,"MOL BIO, GENETICS & EVOL",04L,16,TH,8:30:00 AM,11:00:00 AM,In Person,Biological Sciences 0035,UGRD,2022 Spring Term
179010254972655,BIOLOGY,203L,"MOL BIO, GENETICS & EVOL",05L,16,TH,1:45:00 PM,4:15:00 PM,In Person,Biological Sciences 0035,UGRD,2022 Spring Term
179010255239217,POLSCI,279,PROFESSIONALIZATION/JOB SEARCH,1,18,TH,10:15:00 AM,11:30:00 AM,In Person,Perkins LINK 065 (Classroom 2),UGRD,2022 Spring Term
179010255603633,LSGS,330S,UNDOCUMENTED AMERICA IN LIT,1,10,TTH,10:15:00 AM,11:30:00 AM,In Person,Perkins LINK 059 (Seminar 1),UGRD,2022 Spring Term
179010255603634,LIT,329S,UNDOCUMENTED AMERICA IN LIT,1,10,TTH,10:15:00 AM,11:30:00 AM,In Person,Perkins LINK 059 (Seminar 1),UGRD,2022 Spring Term
179010255603635,ROMST,330S,UNDOCUMENTED AMERICA IN LIT,1,10,TTH,10:15:00 AM,11:30:00 AM,In Person,Perkins LINK 059 (Seminar 1),UGRD,2022 Spring Term
179010255603636,CULANTH,329S,UNDOCUMENTED AMERICA IN LIT,1,10,TTH,10:15:00 AM,11:30:00 AM,In Person,Perkins LINK 059 (Seminar 1),UGRD,2022 Spring Term
179010255952825,AMES,456S,CHINESE CULTURE AND IDEOLOGY,1,18,MW,3:30:00 PM,4:45:00 PM,In Person,Franklin Center 230,UGRD,2022 Spring Term
